Video ID,Title,Publish Date,Description,Views,Likes
IKP_sj_JcTg,What advice would you give a student developer?,2024-06-28T04:00:19Z,We asked some members of the GDSC community to tell us pieces of advice they would give to other student devs. Watch this ...,2245,104
ZhExnit0UdM,Developing for Indic languages | Gemma and Navarasa (Extended Edition),2024-06-27T20:34:36Z,"While many early large language models were predominantly trained on English language data, the field is rapidly evolving.",2603,95
Cj5blaxvNqU,Can you complete this AI crossword puzzle? Find out!,2024-06-26T17:00:08Z,"This #GoogleIO themed crossword puzzle isn't like others. No more are the days of staring at empty letter blocks, guessing at the ...",3170,101
FqZpuC3RHOA,"NEW Client Libraries for Google Wallet? Yes, we have them.",2024-06-17T18:34:47Z,Live Q&A: Have questions or misconceptions? Join us for a live Q&A session where we'll address your queries and clear up any ...,0,5
hleLlcHwQLM,Google I/O 2023 Developer Keynote in 5 minutes,2023-05-10T22:30:48Z,"Discover what's new from Google, including top takeaways and highlights announced at Google I/O 2023. From deep investments ...",21288643,1054
r8T0SnwHRNI,Developer keynote (Google I/O &#39;23),2023-05-10T20:43:48Z,Learn about the latest updates to our developer products and platforms at Google I/O 2023. To watch this keynote interpreted in ...,229564,0
iR2O2GPbB0E,What are Large Language Models (LLMs)?,2023-05-05T23:00:18Z,"Learn about Large Language Models (LLMs), a powerful neural network that enables computers to process and generate ...",229688,4255
Vo4GmHxZzZo,Welcome to the 2022 Code Jam World Finals!,2022-08-05T18:00:35Z,"On August 5, 2022, top programmers from around the world will compete virtually for the championship title and grand prize of ...",31771,659
PHpveYiS0OQ,2022 Solution Challenge Demo Day,2022-07-28T17:27:58Z,Join us for the 2022 Solution Challenge Demo Day hosted by Google Developer Student Clubs! Over 2500 students and 830 ...,45018,1015
LcuouG7Ofpc,How Google Assistant&#39;s architecture powers voice features in your apps,2022-05-12T16:03:26Z,"Learn about the structure and architecture that underlies Assistant's functionality. In addition, discover what makes Assistant tick, ...",5191,93
htG27DW5ju4,Google I/O 2022 Developer Keynote in 8 minutes,2022-05-11T21:46:53Z,What are the top takeaways from Google I/O 2022 for Google Developers? Get a quick overview of announcements for ...,14671746,1492
2gTCghy-dU4,Google Wallet API tutorial for Google Developers | Google I/O 2022,2022-05-11T20:47:42Z,"In this Google Wallet API tutorial, Google Developers can explore Google Wallet for Android with a focus on quick and consistent ...",62076,521
ww7RItTgO48,Developer Keynote (Google I/O &#39;22) — American Sign Language,2022-05-11T20:25:51Z,0:00 Introduction 2:53 Augmented Reality 5:46 Android 24:12 Web 30:14 Flutter 35:22 Firebase 41:59 Google Cloud 46:27 ...,42375,0
qBkyU1TJKDg,Developer Keynote (Google I/O &#39;22),2022-05-11T20:24:46Z,"In this Developer Keynote from Google I/O 2022, Google Developers can learn about our developer products and platforms.",196651,0
KjfMPxS2on8,Machine Learning basics,2022-04-19T15:00:21Z,"When you think of Machine Learning, what do you think of? Learn what Machine Learning is, how computers find patterns, and ...",28600,917
XJ476O86hbU,AI and the Gartner Hype Cycle,2022-04-18T21:00:12Z,"Welcome to AI for Anyone! We'll take a journey to explore Artificial Intelligence, along with Machine Learning and Deep Learning.",25132,1091
_2yYPQxOTL4,Top 7 Stadia announcements from Google for Games Developer Summit,2022-03-15T19:03:11Z,Learn how the Stadia team is helping developers bring their games to players faster than ever as we recap the top Stadia ...,227999,381
1oc75GQFKvg,Google for Games Developer Summit 2022 Keynote,2022-03-15T15:58:19Z,Learn about new solutions for game devs to make it easier to build high quality games and reach growing audiences around the ...,46767,773
wZIQycr0F4c,Coding Practice with Kick Start 2022 – Session #1 problem walkthroughs,2022-02-18T03:00:12Z,Join Google engineers for a walk through of each problem from the first session of Coding Practice with Kick Start. They provide ...,46182,752
ZbnI4E3F_l4,Google’s Coding Competitions - Check out challenges for all skill levels,2022-01-04T11:00:13Z,"Google's Coding Competitions are back! Kick Start, Hash Code, and Code Jam return for another exciting season - try your hand ...",144557,7019
V84yjOdtybQ,Why Loóna chose a .app domain name,2021-11-01T21:00:58Z,"Natalie Portier is the COO of Loóna, an immersive sleep and storytelling app that helps you get a better night's rest. In this ...",4905,84
YmJ7hcjzT0s,Creating an app to help your community with Gaston Saillen #IamaGDE,2021-09-29T17:00:32Z,"Meet Gaston Saillen, Android Google Developer Expert from Argentina. Gaston shares how he created U-LaLa, a delivery service ...",5238,140
FmhnbT7-RTc,2021 Solution Challenge Demo Day,2021-08-26T17:25:34Z,Join us for the 2021 Solution Challenge Demo Day hosted by Google Developer Student Clubs. The top 10 finalist teams will ...,47139,1300
Jqf52nThBt0,Join a Google Developer Student Club,2021-08-11T17:00:21Z,Google Developer Student Clubs are university-based clubs where students learn Google technology and use their skills to build ...,59500,1390
Ys9N_pCFRDg,Introduction to Google Identity Services,2021-08-03T17:00:18Z,"Announcing Google Identity Services, a suite of identity products that delivers a simple, safe, and privacy preserving solutions for ...",96468,338
fGGO7Fpy-Gk,GameSnacks: Google&#39;s new HTML5 gaming platform,2021-07-13T17:23:10Z,"Mobile gaming is huge, and mobile HTML5 gaming is growing. Learn more about how GameSnacks helped HTML5 game ...",29789,634
I0oNK-XHp0I,Stadia Keynote,2021-07-13T15:58:09Z,Hear the latest and greatest from one of Stadia's business development leads. You'll learn about new offerings for all Stadia ...,35711,556
8N7fYLWIoK4,Visual tickets on Google Pay,2021-06-04T23:00:01Z,Google Pay provides a simple way to replace paper tickets with more convenient visual tickets which can be saved to your ...,28282,221
DozT--NclbM,App Actions overview,2021-05-26T16:06:51Z,App Actions is how developers can integrate Google Assistant into their Android App. Enable your users to launch specific ...,28028,311
gAzIkjkJSzM,Build an AR application using the WebXR API | Workshop,2021-05-24T19:42:18Z,Learn how to expand the reach and scale of your AR applications with a simple AR experience for the immersive web.,41386,900
D_mVOAXcrtc,Developer Keynote (Google I/O &#39;21) - American Sign Language,2021-05-18T20:16:01Z,Learn about the latest updates to our developer products and platforms at Google from Google Developers. To watch this keynote ...,277550,0
kH0nafGhbww,Google Pay API and web integration | Google Developers,2021-05-12T20:03:36Z,What are the Google Pay new features? Google Developers can explore a live integration of the Google Pay online APIs into a ...,90779,1260
b8TGCuxZr2g,Join us for #GoogleIO!,2021-04-28T16:00:18Z,"We're back and embracing the virtual space! Join us for this year's Google I/O event for a first look at our latest developer products, ...",38206,1604
earTjC0iSjg,What are Google Developer Student Clubs?,2021-04-06T16:00:04Z,Google Developer Student Clubs train hundreds of thousands of university student developers globally. Google selects students ...,50525,1118
6Hd_hjG3s_s,Announcing Google Assistant Developer Day 2020,2020-09-10T17:00:06Z,"Thanks for joining us live on October 8th for the virtual Google Assistant Developer Day, where we announced new features, tools, ...",18949,389
ysGfsOFwSCg,"Kotlin 1.4, Firebase Hosting updates, Google Cloud Game Servers, and more!",2020-08-27T21:00:17Z,TL;DR 216 | The Google Developer News Show 0:00 New language features and more in Kotlin 1.4 → https://goo.gle/3jnHy1z ...,30486,322
q3Jd98xyBAA,AR Realism with the ARCore Depth API,2020-06-25T13:00:30Z,"With the ARCore Depth API, developers can use our depth-from-motion algorithms to create a depth map with a single RGB ...",23039,532
ZH5WnN5dtvk,"Android 11 Beta, Google Play Asset Delivery, Firebase Crashlytics SDK, &amp; much more!",2020-06-18T21:00:25Z,TL;DR 206 | The Google Developer News Show 0:00 Android 11 Beta → https://goo.gle/3fzChBS 0:25 Introducing Google Play ...,44268,295
onW8gbbDpdQ,"Announcing Firebase Live, Flutter Day, Java 11 on Google Cloud Functions, &amp; more!",2020-05-28T21:00:03Z,TL;DR 205 | The Google Developer News Show •Announcing Firebase Live (Firebase) → https://goo.gle/3d4ofrb •Firebase ...,30420,546
QWdYWwW6OAE,Machine Learning Foundations: Ep #7 - Image augmentation and overfitting,2020-05-27T16:00:13Z,Machine Learning Foundations is a free training course where you'll learn the fundamentals of building machine learned models ...,31281,705
FkiHjuZ2gv8,"Adobe XD support for Flutter, Architecture Framework, temporary closures with Places API, &amp; more!",2020-05-21T21:00:17Z,TL;DR 204 | The Google Developer News Show •Announcing Adobe XD support for Flutter (Flutter) → https://goo.gle/2LJ8GJg ...,26893,902
dd8H4fiL9Yc,Machine Learning Foundations: Ep #4 - Coding with Convolutional Neural Networks,2020-05-16T16:00:26Z,Machine Learning Foundations is a free training course where you'll learn the fundamentals of building machine learned models ...,38929,638
PCgLmzkRM38,Machine Learning Foundations: Ep #3 - Convolutions and pooling,2020-05-13T16:01:06Z,Machine Learning Foundations is a free training course where you'll learn the fundamentals of building machine learned models ...,48255,919
j-35y1M9rRU,Computer vision by building a neural network with TensorFlow | Machine Learning Foundations,2020-05-09T16:00:28Z,Machine Learning Foundations is a free training course where you'll learn the fundamentals of building machine learned models ...,75842,1408
_Z9TRANg4c0,Machine Learning Foundations: Ep #1 - What is ML?,2020-05-06T16:00:26Z,Machine Learning Foundations is a free training course where you'll learn the fundamentals of building machine learned models ...,188669,4571
2haNNRU1Gxs,Google for Games Developer Summit Keynote,2020-03-23T16:00:11Z,Google for Games Developer Summit Keynote. Game Developers Conference is one of our most anticipated times of the year to ...,84340,799
jdiTkeM-7O0,"Google for Games Developer Summit: A free, digital experience for game developers",2020-03-16T21:02:28Z,"Join us on March 23, 2020 at 9 am PDT, for a free, digital-only experience where developers can watch the announcements and ...",1299755,355
Xe62J2ca87c,Why Podcast.app chose a .app domain name,2020-02-21T17:27:56Z,"Podcast.app cofounder, Martin Siniawski, explains why launching the domain name podcast.app was a no-brainer for his team.",12095,178
lrO16RXdyR4,"Flutter 1.12, Dart 2.7, Android 10, &amp; much more!",2019-12-19T22:34:57Z,TL;DR 186 | The Google Developer News Show Flutter 1.12 (Flutter) → https://goo.gle/36T84JL Dart 2.7 (Dart) ...,43523,1029
aaaUSeQGLAA,Introduction to Local Home SDK,2019-12-19T00:07:44Z,Learn how you can implement local execution of your Smart Home Actions using the Local Home SDK. Learn more about Local ...,37512,406
